id,season,city,venue,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match
1,2008,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Chennai Super Kings,0,2,Ambati Rayudu
2,2008,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,23,0,Trent Boult
3,2008,Mumbai,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Mumbai Indians,0,3,Rohit Sharma
4,2008,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,11,0,Glenn Maxwell
5,2008,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Chennai Super Kings,0,8,MS Dhoni
6,2008,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings,0,1,MS Dhoni
7,2008,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Kolkata Knight Riders,0,5,Pat Cummins
8,2008,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Punjab Kings,0,2,Chris Gayle
9,2008,Kolkata,Eden Gardens,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,21,0,Glenn Maxwell
10,2008,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,13,0,David Warner
11,2008,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,Sunrisers Hyderabad,0,8,Kane Williamson
12,2008,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Rajasthan Royals,0,9,Trent Boult
13,2008,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,28,0,Axar Patel
14,2008,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Mumbai Indians,Punjab Kings,bat,Mumbai Indians,0,2,Hardik Pandya
15,2008,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,79,0,Sanju Samson
16,2008,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,8,0,Jos Buttler
17,2008,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,Punjab Kings,0,4,Nicholas Pooran
18,2008,Kolkata,Eden Gardens,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,45,0,Mohammed Siraj
19,2008,Mumbai,Wankhede Stadium,Mumbai Indians,Punjab Kings,Punjab Kings,field,Mumbai Indians,37,0,Jasprit Bumrah
20,2008,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Chennai Super Kings,0,9,Deepak Chahar
21,2008,Kolkata,Eden Gardens,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,Punjab Kings,17,0,Mayank Agarwal
22,2008,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,19,0,Rishabh Pant
23,2008,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Chennai Super Kings,2,0,Ambati Rayudu
24,2008,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Kolkata Knight Riders,35,0,Andre Russell
25,2008,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,3,Jonny Bairstow
26,2008,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,28,0,KL Rahul
27,2008,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,63,0,Sanju Samson
28,2008,Mumbai,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Mumbai Indians,0,8,Kieron Pollard
29,2008,Kolkata,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,9,Mohammed Siraj
30,2008,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Mumbai Indians,0,7,Jasprit Bumrah
31,2008,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,Punjab Kings,0,7,KL Rahul
32,2008,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,4,Jos Buttler
33,2008,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals,65,0,Rishabh Pant
34,2008,Mumbai,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,15,0,Rishabh Pant
35,2008,Kolkata,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,46,0,Dinesh Karthik
36,2008,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Delhi Capitals,0,5,Prithvi Shaw
37,2008,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,7,0,Kane Williamson
38,2008,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,18,0,Venkatesh Iyer
39,2008,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Chennai Super Kings,0,6,Ravindra Jadeja
40,2008,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,9,MS Dhoni
41,2008,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,29,0,Rishabh Pant
42,2008,Kolkata,Eden Gardens,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,Royal Challengers Bangalore,0,9,Glenn Maxwell
43,2008,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,bat,Punjab Kings,37,0,Chris Gayle
44,2008,Mumbai,Wankhede Stadium,Mumbai Indians,Punjab Kings,Punjab Kings,bat,Mumbai Indians,0,9,Hardik Pandya
45,2008,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Rajasthan Royals,10,0,Trent Boult
46,2008,Mumbai,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Mumbai Indians,0,6,Suryakumar Yadav
47,2008,Mumbai,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,82,0,Suryakumar Yadav
48,2008,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Rajasthan Royals,79,0,Jos Buttler
49,2008,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,0,3,Ben Stokes
50,2008,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings,0,5,Faf du Plessis
51,2008,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,19,0,Shubman Gill
52,2008,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,27,0,Deepak Chahar
53,2008,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,5,0,Suryakumar Yadav
54,2008,Mumbai,Wankhede Stadium,Mumbai Indians,Punjab Kings,Punjab Kings,field,Mumbai Indians,3,0,Suryakumar Yadav
55,2008,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,Rajasthan Royals,0,7,Sanju Samson
56,2008,Mumbai,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Mumbai Indians,0,6,Kieron Pollard
57,2008,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,43,0,Faf du Plessis
58,2008,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Rajasthan Royals,0,5,Jos Buttler
59,2008,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,Rajasthan Royals,0,6,Trent Boult
60,2008,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Punjab Kings,0,5,KL Rahul
61,2009,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,13,0,Jasprit Bumrah
62,2009,Kolkata,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Mumbai Indians,0,7,Hardik Pandya
63,2009,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,30,0,Sunil Narine
64,2009,Mumbai,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,0,1,Hardik Pandya
65,2009,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Rajasthan Royals,2,0,Trent Boult
66,2009,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,2,0,Kane Williamson
67,2009,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Punjab Kings,0,4,Mohammed Shami
68,2009,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,0,9,Prithvi Shaw
69,2009,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,40,0,Ravindra Jadeja
70,2009,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,20,0,Deepak Chahar
71,2009,Mumbai,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,103,0,Kieron Pollard
72,2009,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Kolkata Knight Riders,1,0,Pat Cummins
73,2009,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6,Pat Cummins
74,2009,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Sunrisers Hyderabad,13,0,Jonny Bairstow
75,2009,Mumbai,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,38,0,Jasprit Bumrah
76,2009,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Punjab Kings,0,6,Mohammed Shami
77,2009,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,2,Ben Stokes
78,2009,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Mumbai Indians,Punjab Kings,field,Mumbai Indians,3,0,Rohit Sharma
79,2009,Mumbai,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,0,3,Trent Boult
80,2009,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Kolkata Knight Riders,0,6,Shubman Gill
81,2009,Kolkata,Eden Gardens,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,36,0,Dinesh Karthik
82,2009,Mumbai,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,76,0,Rohit Sharma
83,2009,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Kolkata Knight Riders,0,7,Venkatesh Iyer
84,2009,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,Sunrisers Hyderabad,0,7,David Warner
85,2009,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,bat,Sunrisers Hyderabad,0,9,Bhuvneshwar Kumar
86,2009,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Kings,20,0,KL Rahul
87,2009,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,0,1,Prithvi Shaw
88,2009,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,bat,Punjab Kings,0,6,Chris Gayle
89,2009,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Punjab Kings,Punjab Kings,bat,Delhi Capitals,0,7,Axar Patel
90,2009,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Delhi Capitals,Punjab Kings,field,Punjab Kings,0,1,Mohammed Shami
91,2009,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,0,6,Ambati Rayudu
92,2009,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,35,0,Chris Gayle
93,2009,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,17,0,Kane Williamson
94,2009,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Sunrisers Hyderabad,9,0,Kane Williamson
95,2009,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Kolkata Knight Riders,27,0,Venkatesh Iyer
96,2009,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Delhi Capitals,0,1,Prithvi Shaw
97,2009,Kolkata,Eden Gardens,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,43,0,AB de Villiers
98,2009,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Mumbai Indians,Punjab Kings,field,Punjab Kings,0,3,Chris Gayle
99,2009,Mumbai,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Mumbai Indians,0,2,Hardik Pandya
100,2009,Mumbai,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,0,7,Kieron Pollard
101,2009,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,28,0,Venkatesh Iyer
102,2009,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,54,0,Jos Buttler
103,2009,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,29,0,David Warner
104,2009,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Punjab Kings,9,0,Mohammed Shami
105,2009,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Delhi Capitals,0,4,Rishabh Pant
106,2009,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Rajasthan Royals,10,0,Jos Buttler
